Date,Time,Operator,Flight #,Type,Registration,cn/In,Aboard,Fatalities,Cost
01/13/2005,05:20,Military,,Black Hawk helicopter,,,20,20,241
01/13/2005,13:20,Passenger,,Antonov AN-2,RA-62597,1G177-44,9,9,57
01/13/2005,22:18,Passenger,,Embraer EMB-110 Bandeirante,N49BA,110301,1,1,51
01/26/2005,01:20,Military,,CH53E Sea Stallion,,,31,31,203
01/27/2005,08:10,Passenger,,Let 410UVP-E4,HA-LAR,871923,2,2,22
01/30/2005,16:30,Military,,Lockheed Hercules C.1,XV179,4195,10,10,193
02/03/2005,17:00,Passenger,904,Boeing B-737-200,EX-037,22075/630,104,104,90
02/03/2005,08:07,Passenger,,Ilyushin 76TD,ST-EWB,23438122,7,7,33
02/10/2005,20:30,Passenger,-,Cessna P210N,N432AR,P21000098,2,2,21
02/16/2005,09:13,Passenger,,Cessna 560 Citation V,N500AT,560-0146,8,8,31
02/22/2005,13:22,Passenger,,de Havilland DHC-6 Twin Otter 300,P2-MFQ,174,13,2,22
02/22/2005,07:15,Passenger,,CASA 212 Aviocar,,,18,15,39
03/08/2005,09:23,Passenger,,Cessna 500 Citation I,YV-21CP,500-0115,2,2,22
03/15/2005,00:15,Passenger,,Pilatus-Britten Norman BN-2B-26 Islander,G-BOMG,2205,2,2,36
03/16/2005,13:57,Passenger,,Antonov 24,RA-46489,27308107,52,28,90
03/23/2005,23:07,Passenger,,Ilyushin IL-76TD,ER-IBR,43454623,8,8,56
03/26/2005,10:15,Passenger,,Let-410UVP-E,HK-4146,902426,14,8,45
03/31/2005,20:00,Military,,Lockheed Hercules MC-130H,87-0127,5118,9,9,177
04/12/2005,12:10,Passenger,,de Havilland Canada DHC-6 Twin Otter 100,PK-LTZ,23,18,18,64
04/20/2005,22:15,Passenger,,Boeing B-707-3J9C,EP-SHE,21127/915,169,3,58
04/28/2005,11:28,Military,,Let 410UVP,EP-830,790304,13,13,166
05/02/2005,22:15,Passenger,,Swearingen SA227AC Metro III,ZK-POA,AC-551B,2,2,23
05/05/2005,13:30,Passenger,,Antonov AN-26,EK-26060,17311107,11,10,46
05/07/2005,11:45,Passenger,,Swearingen SA-227AC Metro III,VH-TFU,DC-818B,15,15,65
05/16/2005,12:20,Passenger,,Beech 65-A80 Queenaire,CC-CFS,LD-220,10,10,71
